"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.fixed","avgt",1,1,"1,077948",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.instant","avgt",1,1,"24,724411",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.millis","avgt",1,1,"14,385798",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.offset","avgt",1,1,"1,532589",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.system","avgt",1,1,"0,393410",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.system_default_zone","avgt",1,1,"4,632907",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.system_utc","avgt",1,1,"0,279678",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.tick","avgt",1,1,"5,152680",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.tick_millis","avgt",1,1,"1,458277",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.tick_minutes","avgt",1,1,"1,461382",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.ClockBenchmark.tick_seconds","avgt",1,1,"1,456309",NaN,"ns/op"
