"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: keySize","Param: transformation"
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.decrypt","avgt",1,25,156.812048,0.241877,"us/op",1024,RSA/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.decrypt","avgt",1,25,158.317779,0.570595,"us/op",1024,RSA/ECB/PKCS1Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.decrypt","avgt",1,25,910.699878,2.374526,"us/op",2048,RSA/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.decrypt","avgt",1,25,911.427777,4.743695,"us/op",2048,RSA/ECB/PKCS1Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.decrypt","avgt",1,25,2660.416021,1.989622,"us/op",3072,RSA/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.decrypt","avgt",1,25,2661.110238,3.928526,"us/op",3072,RSA/ECB/PKCS1Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.decrypt","avgt",1,25,5959.225313,9.744456,"us/op",4096,RSA/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.decrypt","avgt",1,25,5954.867104,6.998305,"us/op",4096,RSA/ECB/PKCS1Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.encrypt","avgt",1,25,10.487266,0.014135,"us/op",1024,RSA/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.encrypt","avgt",1,25,11.180876,0.039567,"us/op",1024,RSA/ECB/PKCS1Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.encrypt","avgt",1,25,38.514174,0.077894,"us/op",2048,RSA/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.encrypt","avgt",1,25,39.635726,0.076067,"us/op",2048,RSA/ECB/PKCS1Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.encrypt","avgt",1,25,73.361254,0.024517,"us/op",3072,RSA/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.encrypt","avgt",1,25,74.714437,0.123537,"us/op",3072,RSA/ECB/PKCS1Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.encrypt","avgt",1,25,129.782979,0.304584,"us/op",4096,RSA/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.RsaEcbCryptoBenchmark.encrypt","avgt",1,25,131.149730,0.182184,"us/op",4096,RSA/ECB/PKCS1Padding
